alarm_1,alarm_2,lag,correlation,abs_corr
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,8,0.1049830289291845,0.1049830289291845
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,9,0.0900371995486422,0.0900371995486422
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,10,0.11195249876958716,0.11195249876958716
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,11,0.11139644020822718,0.11139644020822718
Adjacent Node IP Address Ping Failure,E1/T1 Excessive Bit Error Rate,12,0.10740249890388724,0.10740249890388724
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-12,0.09344849854702697,0.09344849854702697
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-11,0.07499862976815559,0.07499862976815559
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-10,0.08817301581768554,0.08817301581768554
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-9,0.07742329254718969,0.07742329254718969
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-8,0.07575991186114445,0.07575991186114445
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-7,0.08852913367785387,0.08852913367785387
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-6,0.08197007747195896,0.08197007747195896
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-5,0.09381986512900711,0.09381986512900711
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-4,0.10866942978952869,0.10866942978952869
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-3,0.11094857879656592,0.11094857879656592
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-2,0.14727411616554717,0.14727411616554717
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,-1,0.136783489075917,0.136783489075917
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,0,0.19586185594112318,0.19586185594112318
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,1,0.1231931601102669,0.1231931601102669
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,2,0.1156663609993171,0.1156663609993171
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,3,0.09720717999725839,0.09720717999725839
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,4,0.08497750232679253,0.08497750232679253
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,5,0.09483321766829397,0.09483321766829397
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,6,0.0810939732070052,0.0810939732070052
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,7,0.0898152604236903,0.0898152604236903
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,8,0.10374620881047025,0.10374620881047025
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,9,0.08552549049020816,0.08552549049020816
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,10,0.08946513359962538,0.08946513359962538
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,11,0.09032728689338568,0.09032728689338568
Adjacent Node IP Address Ping Failure,External Clock Reference Problem,12,0.08629807813552161,0.08629807813552161
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-12,0.08233491696460515,0.08233491696460515
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-11,0.07360999267023591,0.07360999267023591
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-10,0.0879478731693147,0.0879478731693147
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-9,0.07364849925986462,0.07364849925986462
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-8,0.07953330287950973,0.07953330287950973
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-7,0.06153380342601935,0.06153380342601935
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-6,0.07807931101421688,0.07807931101421688
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-5,0.09050535064416314,0.09050535064416314
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-4,0.08160686517500405,0.08160686517500405
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-3,0.10415460711507109,0.10415460711507109
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-2,0.12141606548721702,0.12141606548721702
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,-1,0.1272664165751681,0.1272664165751681
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,0,0.7033129568484797,0.7033129568484797
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,1,0.12920154854003701,0.12920154854003701
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,2,0.11593687308060603,0.11593687308060603
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,3,0.11876536652356057,0.11876536652356057
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,4,0.07708780803328386,0.07708780803328386
